U+4E58,乘
U+4E9E,亞
U+4F5B,佛
U+4F86,來
U+4FAE,侮
U+50B3,傳
U+50DE,僞
U+50E7,僧
U+50F9,價
U+5109,儉
U+5152,兒
U+51A8,冨
U+51C9,凉
U+5269,剩
U+528D,劍
U+52C9,勉
U+52E4,勤
U+52F3,勳
U+5351,卑
U+5377,卷
U+537D,卽
U+55AE,單
U+5606,嘆
U+5668,器
U+56B4,嚴
U+5708,圈
U+570B,國
U+5713,圓
U+5718,團
U+57DC,埜
U+589E,增
U+58A8,墨
U+58D8,壘
U+58DE,壞
U+58EF,壯
U+58FD,壽
U+5967,奧
U+596C,奬
U+5B43,孃
U+5BE2,寢
U+5BE6,實
U+5BEC,寬
U+5C07,將
U+5C08,專
U+5C64,層
U+5CEF,峯
U+5CFD,峽
U+5D8B,嶋
U+5DE2,巢
U+5E36,帶
U+5ECA,廊
U+5EE3,廣
U+5EF3,廳
U+5F48,彈
U+5F4C,彌
U+5F9E,從
U+5FB5,徵
U+5FB7,德
U+6046,恆
U+6094,悔
U+60E0,惠
U+60E1,惡
U+613C,愼
U+618E,憎
U+61C9,應
U+61F2,懲
U+61F7,懷
U+6230,戰
U+6232,戲
U+62C2,拂
U+62D4,拔
U+62DC,拜
U+63ED,揭
U+6416,搖
U+641C,搜
U+64CA,擊
U+651D,攝
U+6536,收
U+654D,敍
U+654F,敏
U+665A,晚
U+665D,晝
U+6691,暑
U+66C6,曆
U+66C9,曉
U+66FE,曾
U+6717,朗
U+6885,梅
U+689D,條
U+69AE,榮
U+6A02,樂
U+6A23,樣
U+6A6B,橫
U+6AA2,檢
U+6AFB,櫻
U+6B04,欄
U+6B65,步
U+6B77,歷
U+6BCF,每
U+6C23,氣
U+6D77,海
U+6D89,涉
U+6DDA,淚
U+6DE8,淨
U+6E34,渴
U+6EAB,溫
U+6EEF,滯
U+6F22,漢
U+6F81,澁
U+6FD5,濕
U+7027,瀧
U+7028,瀨
U+716E,煮
U+71C8,燈
U+71D2,燒
U+722D,爭
U+7232,爲
U+72C0,狀
U+72F9,狹
U+7378,獸
U+758A,疊
U+7626,瘦
U+76C3,盃
U+76DC,盜
U+76E1,盡
U+771E,眞
U+788E,碎
U+7891,碑
U+793E,社
U+7948,祈
U+7949,祉
U+7955,祕
U+7956,祖
U+795D,祝
U+795E,神
U+7965,祥
U+798D,禍
U+798F,福
U+79AA,禪
U+79AE,禮
U+7A3B,稻
U+7A40,穀
U+7A57,穗
U+7A81,突
U+7BC0,節
U+7CB9,粹
U+7DA0,綠
U+7DD6,緖
U+7DE3,緣
U+7DF4,練
U+7E23,縣
U+7E31,縱
U+7E41,繁
U+7E96,纖
U+7F72,署
U+8005,者
U+807D,聽
U+81DF,臟
U+81ED,臭
U+8207,與
U+838A,莊
U+842C,萬
U+8457,著
U+8597,薗
U+85B0,薰
U+85CF,藏
U+85DD,藝
U+85E5,藥
U+865B,虛
U+865C,虜
U+885E,衞
U+88DD,裝
U+8996,視
U+89BD,覽
U+8AF8,諸
U+8B01,謁
U+8B20,謠
U+8B39,謹
U+8B93,讓
U+8CD3,賓
U+8CE3,賣
U+8CF4,賴
U+8D08,贈
U+8F49,轉
U+9038,逸
U+90DE,郞
U+90FD,都
U+9189,醉
U+91C0,釀
U+9304,錄
U+934A,鍊
U+93AD,鎭
U+9444,鑄
U+9677,陷
U+96AA,險
U+96DC,雜
U+96E3,難
U+975C,靜
U+97FF,響
U+985E,類
U+986F,顯
U+98DC,飜
U+99C8,駈
U+9A37,騷
U+9A57,驗
U+9AEE,髮
U+9DC4,鷄
U+9EC3,黃
U+9ED1,黑
U+9ED8,默
U+9F4A,齊
U+9F8D,龍
