U+4E01,丁
U+4E16,世
U+4E21,両
U+4E3B,主
U+4E57,乗
U+4E88,予
U+4E8B,事
U+4ED5,仕
U+4ED6,他
U+4EE3,代
U+4F4F,住
U+4F7F,使
U+4FC2,係
U+500D,倍
U+5168,全
U+5177,具
U+5199,写
U+5217,列
U+52A9,助
U+52C9,勉
U+52D5,動
U+52DD,勝
U+5316,化
U+533A,区
U+533B,医
U+53BB,去
U+53CD,反
U+53D6,取
U+53D7,受
U+53F7,号
U+5411,向
U+541B,君
U+5473,味
U+547D,命
U+548C,和
U+54C1,品
U+54E1,員
U+5546,商
U+554F,問
U+5742,坂
U+592E,央
U+59CB,始
U+59D4,委
U+5B88,守
U+5B89,安
U+5B9A,定
U+5B9F,実
U+5BA2,客
U+5BAE,宮
U+5BBF,宿
U+5BD2,寒
U+5BFE,対
U+5C40,局
U+5C4B,屋
U+5CB8,岸
U+5CF6,島
U+5DDE,州
U+5E33,帳
U+5E73,平
U+5E78,幸
U+5EA6,度
U+5EAB,庫
U+5EAD,庭
U+5F0F,式
U+5F79,役
U+5F85,待
U+6025,急
U+606F,息
U+60AA,悪
U+60B2,悲
U+60F3,想
U+610F,意
U+611F,感
U+6240,所
U+6253,打
U+6295,投
U+62FE,拾
U+6301,持
U+6307,指
U+653E,放
U+6574,整
U+65C5,旅
U+65CF,族
U+6614,昔
U+662D,昭
U+6691,暑
U+6697,暗
U+66F2,曲
U+6709,有
U+670D,服
U+671F,期
U+677F,板
U+67F1,柱
U+6839,根
U+690D,植
U+696D,業
U+69D8,様
U+6A2A,横
U+6A4B,橋
U+6B21,次
U+6B6F,歯
U+6B7B,死
U+6C37,氷
U+6C7A,決
U+6CB9,油
U+6CE2,波
U+6CE8,注
U+6CF3,泳
U+6D0B,洋
U+6D41,流
U+6D88,消
U+6DF1,深
U+6E29,温
U+6E2F,港
U+6E56,湖
U+6E6F,湯
U+6F22,漢
U+70AD,炭
U+7269,物
U+7403,球
U+7531,由
U+7533,申
U+754C,界
U+7551,畑
U+75C5,病
U+767A,発
U+767B,登
U+76AE,皮
U+76BF,皿
U+76F8,相
U+770C,県
U+771F,真
U+7740,着
U+77ED,短
U+7814,研
U+793C,礼
U+795E,神
U+796D,祭
U+798F,福
U+79D2,秒
U+7A76,究
U+7AE0,章
U+7AE5,童
U+7B1B,笛
U+7B2C,第
U+7B46,筆
U+7B49,等
U+7BB1,箱
U+7D1A,級
U+7D42,終
U+7DD1,緑
U+7DF4,練
U+7F8A,羊
U+7F8E,美
U+7FD2,習
U+8005,者
U+80B2,育
U+82E6,苦
U+8377,荷
U+843D,落
U+8449,葉
U+85AC,薬
U+8840,血
U+8868,表
U+8A69,詩
U+8ABF,調
U+8AC7,談
U+8C46,豆
U+8CA0,負
U+8D77,起
U+8DEF,路
U+8EAB,身
U+8EE2,転
U+8EFD,軽
U+8FB2,農
U+8FD4,返
U+8FFD,追
U+9001,送
U+901F,速
U+9032,進
U+904A,遊
U+904B,運
U+90E8,部
U+90FD,都
U+914D,配
U+9152,酒
U+91CD,重
U+9244,鉄
U+9280,銀
U+958B,開
U+9662,院
U+967D,陽
U+968E,階
U+96C6,集
U+9762,面
U+984C,題
U+98F2,飲
U+9928,館
U+99C5,駅
U+9F3B,鼻
